X,Y,Density,GF,layer,simulationID,simtime
238.67344436985886,-0.1242462303851326,76,0.2897196261682243,1,42,140
253.67344436985886,-0.1242462303851326,26,0.7570093457943925,1,42,140
268.6734443698589,-0.1242462303851326,72,0.32710280373831774,1,42,140
283.6734443698589,-0.1242462303851326,56,0.4766355140186916,1,42,140
298.6734443698589,-0.1242462303851326,44,0.5887850467289719,1,42,140
313.6734443698589,-0.1242462303851326,62,0.4205607476635514,1,42,140
328.6734443698589,-0.1242462303851326,35,0.6728971962616822,1,42,140
343.6734443698589,-0.1242462303851326,8,0.9252336448598131,1,42,140
358.6734443698589,-0.1242462303851326,0,1,1,42,140
-46.326555630141144,14.875753769614867,0,1,1,42,140
-31.326555630141144,14.875753769614867,9,0.9158878504672897,1,42,140
-16.326555630141144,14.875753769614867,11,0.897196261682243,1,42,140
-1.3265556301411436,14.875753769614867,20,0.8130841121495327,1,42,140
13.673444369858856,14.875753769614867,32,0.7009345794392523,1,42,140
28.673444369858856,14.875753769614867,37,0.6542056074766355,1,42,140
43.673444369858856,14.875753769614867,39,0.6355140186915887,1,42,140
58.673444369858856,14.875753769614867,12,0.8878504672897196,1,42,140
73.67344436985886,14.875753769614867,25,0.7663551401869159,1,42,140
88.67344436985886,14.875753769614867,10,0.9065420560747663,1,42,140
103.67344436985886,14.875753769614867,18,0.8317757009345794,1,42,140
118.67344436985886,14.875753769614867,17,0.8411214953271028,1,42,140
133.67344436985886,14.875753769614867,17,0.8411214953271028,1,42,140
148.67344436985886,14.875753769614867,4,0.9626168224299065,1,42,140
163.67344436985886,14.875753769614867,4,0.9626168224299065,1,42,140
178.67344436985886,14.875753769614867,2,0.9813084112149533,1,42,140
193.67344436985886,14.875753769614867,63,0.411214953271028,1,42,140
208.67344436985886,14.875753769614867,25,0.7663551401869159,1,42,140
223.67344436985886,14.875753769614867,19,0.822429906542056,1,42,140
238.67344436985886,14.875753769614867,11,0.897196261682243,1,42,140
253.67344436985886,14.875753769614867,30,0.719626168224299,1,42,140
268.6734443698589,14.875753769614867,39,0.6355140186915887,1,42,140
283.6734443698589,14.875753769614867,25,0.7663551401869159,1,42,140
298.6734443698589,14.875753769614867,36,0.6635514018691588,1,42,140
313.6734443698589,14.875753769614867,34,0.6822429906542056,1,42,140
328.6734443698589,14.875753769614867,23,0.7850467289719626,1,42,140
343.6734443698589,14.875753769614867,4,0.9626168224299065,1,42,140
358.6734443698589,14.875753769614867,0,1,1,42,140
-46.326555630141144,29.875753769614867,0,1,1,42,140
-31.326555630141144,29.875753769614867,1,0.9906542056074766,1,42,140
-16.326555630141144,29.875753769614867,17,0.8411214953271028,1,42,140
-1.3265556301411436,29.875753769614867,56,0.4766355140186916,1,42,140
13.673444369858856,29.875753769614867,36,0.6635514018691588,1,42,140
